query,region,total,Argentina,Brazil,Canada,Chile,Colombia,Costa Rica,Dominican Republic,France,Guatemala,India,Mexico,Panama,Peru,Philippines,Portugal,Spain,United States
SWE_React,LATAM,133779,22184,69891,,4572,15028,2358,1605,,851,,12451,326,4513,,,,
SWE_React,NA_EU_APAC,621252,,,43092,,,,,15091,,305794,,,,8316,7251,19849,221859
Product_Manager,LATAM,23890,2337,16311,,1100,1375,262,33,,75,,1803,119,475,,,,
Product_Manager,NA_EU_APAC,215441,,,14112,,,,,18896,,27576,,,,805,2364,7685,144003
SDET,LATAM,7239,978,2895,,184,801,337,118,,54,,1683,30,159,,,,
SDET,NA_EU_APAC,138604,,,7563,,,,,927,,66271,,,,1209,800,1733,60101
VP_Engineering,LATAM,410,91,175,,11,41,14,2,,0,,67,2,7,,,,
VP_Engineering,NA_EU_APAC,14949,,,753,,,,,338,,1758,,,,30,103,333,11634
UX_Designer,LATAM,26382,3089,16752,,869,2262,287,143,,69,,2116,47,748,,,,
UX_Designer,NA_EU_APAC,113274,,,9305,,,,,7914,,35623,,,,1629,2071,5845,50887
Marketing_Manager,LATAM,30625,3244,9504,,1733,3876,720,418,,452,,8886,672,1120,,,,
Marketing_Manager,NA_EU_APAC,450834,,,33345,,,,,20935,,81141,,,,8189,5883,19500,281841
Sales_Rep_AE,LATAM,101653,10200,49489,,3831,9944,1868,998,,706,,19943,1044,3630,,,,
Sales_Rep_AE,NA_EU_APAC,1814476,,,91674,,,,,29090,,310388,,,,31007,5310,31641,1315366
Accountant,LATAM,130221,7231,88948,,2357,4987,4874,1843,,1141,,15540,1938,1362,,,,
Accountant,NA_EU_APAC,1587711,,,172048,,,,,22259,,216554,,,,72088,8856,21103,1074803
Finance_Analyst,LATAM,22137,1701,8843,,1063,2009,1473,213,,274,,5581,425,555,,,,
Finance_Analyst,NA_EU_APAC,252587,,,22686,,,,,7989,,35321,,,,3596,1530,4921,176544
Sales_Manager,LATAM,13315,872,5527,,509,1219,370,168,,138,,3966,271,275,,,,
Sales_Manager,NA_EU_APAC,368656,,,20096,,,,,6253,,61770,,,,4503,1336,5232,269466
